Date,Salesperson,Customer Name,Car Make,Car Model,Car Year,Sale Price,Commission Rate,Commission Earned
17-08-2022,Kristen Martinez,Colleen Fischer,Nissan,Altima,2021,17832,0.051852876,924.64
03-01-2023,Kimberly Maldonado,Kristine Hernandez,Honda,Civic,2014,39908,0.1089850727489289,4349.38
30-11-2022,Tara Hubbard,Virginia Joyce,Toyota,Corolla,2016,14609,0.091409362,1335.4
13-04-2023,Valerie Sanchez,Carlos Fields,Nissan,Altima,2022,13508,0.1467563532465133,1982.38
24-12-2022,Kevin Mitchell,Christie Odonnell,Ford,F-150,2022,13280,0.1228859767971208,1631.93
11-02-2023,David Gomez,Linda Conrad,Nissan,Altima,2019,46164,0.1446738044050614,6678.72
10-08-2022,Rebecca Pearson,Randall Thompson,Ford,F-150,2013,14744,0.085092622,1254.61
20-05-2022,Jessica Flores,Carol Turner,Honda,Civic,2014,27999,0.09029834,2528.26
19-07-2022,Joseph Patterson,James Velazquez,Toyota,Corolla,2010,24327,0.095457332,2322.19
20-01-2023,Carrie Gordon,Joseph Marquez,Chevrolet,Silverado,2015,35989,0.1055199958500214,3797.56
19-04-2023,Christina Avery,Courtney Miller,Chevrolet,Silverado,2017,21618,0.1453379453240603,3141.92
07-10-2022,Monique Green,Audrey Perry,Toyota,Corolla,2022,26862,0.09513501,2555.52
18-11-2022,Tom Hunt,Tammy Wood,Ford,F-150,2010,36750,0.1024455317228098,3764.87
01-02-2023,Walter Robinson,Jeffrey Gillespie,Honda,Civic,2020,19526,0.1283147176452754,2505.47
24-01-2023,Robert Gordon,Jennifer Cohen,Ford,F-150,2019,26875,0.1156546980822646,3108.22
04-06-2022,Michelle Moore,Sharon Brooks,Honda,Civic,2019,10371,0.1049909424939977,1088.86
06-01-2023,Lindsey Knight,Haley Sanders,Nissan,Altima,2019,13649,0.1233316626906776,1683.35
04-10-2022,Christopher Taylor,Denise Carter,Ford,F-150,2017,29518,0.072624228,2143.72
03-01-2023,Kathy Evans,Claudia Ali,Nissan,Altima,2022,43019,0.1465408520662506,6304.04
16-11-2022,Katherine Harris,Lori Byrd,Nissan,Altima,2022,33493,0.1468981153860016,4920.06
03-04-2023,Laura Huff,Michael Lewis,Nissan,Altima,2017,26262,0.1232320153120652,3236.32
25-08-2022,Charles Cruz,Debra Hudson,Nissan,Altima,2015,18282,0.1481807118338089,2709.04
12-04-2023,Hayley Day,Anthony Glover,Ford,F-150,2015,48916,0.099833576,4883.46
01-04-2023,Hunter King,Toni Acosta,Honda,Civic,2016,48163,0.131807447,6348.24
08-08-2022,Kimberly Rasmussen,Brian Lamb,Honda,Civic,2016,45824,0.105823117041723,4849.24
19-02-2023,Shawn Mullen,Jeremy Jones,Honda,Civic,2018,16314,0.1493435262733106,2436.39
10-05-2022,Matthew Campos,Brandon Kim,Chevrolet,Silverado,2016,19018,0.067879558,1290.93
14-05-2022,Tyler Freeman,Shannon Sutton,Nissan,Altima,2021,27067,0.1046731881978925,2833.19
16-10-2022,Matthew Ortiz,Mr. Kyle Patrick MD,Honda,Civic,2022,31238,0.098555281,3078.67
01-02-2023,Anna Johnson,Damon Baker,Honda,Civic,2012,28865,0.1243135960841982,3588.31
23-02-2023,Carl Miller,Amy Burns,Toyota,Corolla,2012,25187,0.08328041,2097.58
08-09-2022,Ashley English,Adrian Miller,Toyota,Corolla,2022,45561,0.1162543416853923,5296.66
09-06-2022,Mark Mayo,Jesse Walker,Ford,F-150,2014,15751,0.1021107423058567,1608.35
01-06-2022,Becky Stafford,Seth Horne,Chevrolet,Silverado,2016,24664,0.1247243371489697,3076.2
24-05-2022,Shaun Johnson,Zachary Freeman,Honda,Civic,2012,46092,0.079424325,3660.83
23-09-2022,Deanna Rodriguez,Christopher Cruz,Toyota,Corolla,2014,32968,0.1187140775258212,3913.77
13-06-2022,Jennifer Wallace,Michael Smith,Toyota,Corolla,2011,13261,0.1244424049118597,1650.23
14-02-2023,Matthew Walker,Mary Perry,Toyota,Corolla,2019,45162,0.1337068216580847,6038.47
16-03-2023,Kenneth Fields,Audrey Gomez,Honda,Civic,2018,28160,0.092253837,2597.87
04-04-2023,Deborah Whitney,Sarah Watkins,Honda,Civic,2013,45334,0.1368827420537483,6205.44
21-09-2022,David Wood,Brent Mays,Nissan,Altima,2013,24034,0.091313069,2194.62
23-06-2022,Christopher Oneill,Phillip Cox,Nissan,Altima,2022,18209,0.0972776,1771.33
04-06-2022,William Daniel,Jamie Smith,Toyota,Corolla,2015,23255,0.054744915,1273.09
02-12-2022,Stephen Ward,Chase Oneill,Toyota,Corolla,2022,17038,0.081520369,1388.94
23-01-2023,Donald Guerra,John Goodwin,Nissan,Altima,2020,25964,0.098218645,2550.15
13-03-2023,Alyssa Boyd,James Turner,Ford,F-150,2016,10872,0.1095469040717344,1190.99
31-12-2022,Ryan Barnes,Mary Wong,Chevrolet,Silverado,2018,17650,0.1057403631931768,1866.32
29-12-2022,Megan Kaiser,Christopher Alexander,Honda,Civic,2013,25256,0.055620882,1404.76
16-04-2023,Michael Jordan,Thomas Blankenship,Nissan,Altima,2014,31462,0.1039510211201199,3270.51
16-10-2022,Nicole Gonzales,Leslie Shepherd,Honda,Civic,2020,12512,0.1115866635180081,1396.17
18-10-2022,Wendy Lopez,Peter Cole,Nissan,Altima,2012,34884,0.066475198,2318.92
14-05-2022,Michael Rogers,Ronald Sullivan,Nissan,Altima,2020,18818,0.055006177,1035.11
06-10-2022,Tina Lynch,Erika Davis,Ford,F-150,2022,28645,0.1024816577611136,2935.59
27-01-2023,Kimberly Hall,Catherine Ortega,Chevrolet,Silverado,2011,35883,0.1419688142701584,5094.27
05-04-2023,Kayla Perez,Adrian Parker,Chevrolet,Silverado,2014,44008,0.085446035,3760.31
09-12-2022,Sandra Taylor,Kelly Tran,Honda,Civic,2012,30782,0.054496153,1677.5
10-10-2022,Thomas Dixon,Dawn Bell,Chevrolet,Silverado,2014,20145,0.1016623103823734,2047.99
26-10-2022,Tony Stone,Brianna Henderson,Nissan,Altima,2019,11849,0.1172635282767375,1389.46
24-12-2022,Nicholas Rodriguez,Eric Edwards,Ford,F-150,2011,45422,0.1430511887669218,6497.67
21-03-2023,Dennis Davis,Frances Castillo,Toyota,Corolla,2016,17047,0.1264569152380707,2155.71
20-11-2022,William Brock,Mike Harris,Toyota,Corolla,2021,22547,0.1271450535875978,2866.74
18-07-2022,Tanya Joyce,Madeline Mosley,Honda,Civic,2021,45789,0.1249171891331856,5719.83
14-03-2023,Michael Lewis,Joshua Brown,Ford,F-150,2012,23467,0.1454721784355644,3413.8
17-08-2022,Amanda Robinson,Jason Hernandez,Ford,F-150,2010,18895,0.0610122135499059,1152.83
21-02-2023,Gabrielle Fields,Richard Warner,Ford,F-150,2016,36774,0.1471601692625526,5411.67
29-05-2022,Michael Chavez,Eric Durham,Ford,F-150,2020,22348,0.077804785,1738.78
05-07-2022,Dr. Nicole Lopez,Dustin Taylor,Honda,Civic,2016,45924,0.076383844,3507.85
17-07-2022,Miguel Waters,Katherine Henry,Chevrolet,Silverado,2010,13970,0.083736968,1169.81
14-12-2022,Gina Boyer,Elizabeth Jimenez,Chevrolet,Silverado,2013,31606,0.1176499590979119,3718.44
11-08-2022,Lindsey Baker,Carl Maldonado,Toyota,Corolla,2021,39594,0.099849612,3953.45
01-05-2023,Jennifer Odonnell,Holly Jones,Ford,F-150,2022,42275,0.1256808521858874,5313.16
06-01-2023,Brenda Reyes,Joseph Sutton,Toyota,Corolla,2016,23193,0.1202101166954742,2788.03
27-04-2023,Brenda Gardner,Anna Owen,Nissan,Altima,2017,29381,0.1218378942764754,3579.72
19-10-2022,Karen Dennis,Karen Rogers,Ford,F-150,2010,25731,0.08813935,2267.91
27-06-2022,Natalie Rivera,Lisa Harding,Ford,F-150,2015,25131,0.1360029490844441,3417.89
12-05-2022,Donald Higgins,Sarah Martin,Honda,Civic,2012,39840,0.1134386391170571,4519.4
08-08-2022,Bernard Barnes,Blake Barrera,Honda,Civic,2016,24820,0.1040567189773049,2582.69
28-06-2022,Christian Gay,Jesse Miller,Honda,Civic,2019,47484,0.1141458032946126,5420.1
16-07-2022,Tyler Wolfe,Nicholas Thomas,Ford,F-150,2022,26704,0.1319215317403518,3522.83
28-05-2022,Linda Richard,Lisa Robinson,Nissan,Altima,2012,19875,0.1033493387814072,2054.07
11-12-2022,Kathryn Le,Jennifer Williams,Nissan,Altima,2019,41513,0.05081388,2109.44
01-04-2023,Debbie Powers,Kenneth Hernandez,Toyota,Corolla,2014,33780,0.1115451835604447,3768.0
07-04-2023,Kelly Ho,Alejandra Olson,Nissan,Altima,2014,15008,0.056183241,843.2
15-04-2023,Desiree Hill,Mary Nielsen,Toyota,Corolla,2021,13143,0.140933002917038,1852.28
19-04-2023,Richard Williams,Cody Benton,Honda,Civic,2018,26323,0.09552041,2514.38
27-09-2022,Yolanda Jones,Christopher Morris,Honda,Civic,2015,39057,0.109205515040083,4265.24
26-09-2022,Meagan Shaw,Rebecca Boone,Nissan,Altima,2012,11738,0.089704866,1052.96
24-01-2023,Joseph Smith,Gary Rowland,Chevrolet,Silverado,2020,48705,0.1455848060872785,7090.71
21-05-2022,Isabella Barrett,Kathleen Stone,Honda,Civic,2012,20812,0.1075144839936574,2237.59
12-05-2022,Mr. Joshua Johnson,Patricia Serrano,Chevrolet,Silverado,2016,44286,0.092961589,4116.9
09-08-2022,Levi Cox,Daniel Carpenter,Honda,Civic,2014,22149,0.063746566,1411.92
14-08-2022,Diane Anderson,David Peck,Honda,Civic,2013,47797,0.1185231060422808,5665.05
13-03-2023,Cheyenne Sampson,Robert Shaw,Chevrolet,Silverado,2012,32458,0.122796289506675,3985.72
12-01-2023,Phillip Dougherty,William Weber,Nissan,Altima,2020,45815,0.0569911908928825,2611.05
07-10-2022,Jared Taylor,Benjamin Wilson,Toyota,Corolla,2020,18832,0.1488509343135376,2803.16
22-08-2022,Heather Romero,Mark Olson,Ford,F-150,2017,34044,0.077203345,2628.31
11-07-2022,Daniel Richmond,Tiffany Arnold,Toyota,Corolla,2013,14767,0.1042872900064996,1540.01
31-07-2022,William Taylor,Meredith Gomez,Ford,F-150,2012,49209,0.1020789206005461,5023.2
31-12-2022,Matthew Brown,Christina Holmes,Chevrolet,Silverado,2021,12075,0.1464713172076563,1768.64
18-07-2022,Ryan Waters,Diana Brown,Nissan,Altima,2017,32176,0.083234192,2678.14
21-09-2022,Steven Sexton,Eric Tucker,Ford,F-150,2011,21038,0.086813165,1826.38
08-06-2022,Michael Olson,Krista Walters,Ford,F-150,2016,22274,0.1121826484380087,2498.76
17-07-2022,Darryl Hernandez,Gregory Phillips Jr.,Chevrolet,Silverado,2020,36523,0.1470750722837782,5371.62
02-05-2022,Linda White,Pamela Sullivan,Nissan,Altima,2018,48314,0.1468097182384521,7092.96
12-10-2022,Samantha Graham MD,Angela Dudley,Nissan,Altima,2012,29868,0.1430154404759355,4271.59
17-05-2022,Caroline Howell,Rachel Dillon,Honda,Civic,2020,48964,0.07435728,3640.83
07-06-2022,Paula Williams,Crystal Davis,Chevrolet,Silverado,2012,40470,0.1300530156817321,5263.25
13-08-2022,Blake Garcia,Joseph James,Ford,F-150,2019,47642,0.1176991520594635,5607.42
28-04-2023,James Klein,Cameron James,Ford,F-150,2022,17640,0.130832233789045,2307.88
25-07-2022,Matthew Rollins,Heather Heath,Chevrolet,Silverado,2018,34309,0.1103584,3786.29
21-08-2022,Matthew Johnson,James Perkins,Chevrolet,Silverado,2021,34050,0.1218789973851421,4149.98
31-03-2023,Michael Pierce,Leslie Kim,Honda,Civic,2013,19851,0.077311844,1534.72
14-10-2022,Crystal Williams,Henry King,Toyota,Corolla,2014,33518,0.1047961312769568,3512.56
06-06-2022,Amanda Hernandez,Jacqueline Ortiz,Honda,Civic,2022,15157,0.1219276394075819,1848.06
25-06-2022,Mr. Frank Wiggins,Joseph Pierce,Ford,F-150,2014,17214,0.1048348137938406,1804.63
12-05-2022,Joseph Lewis,Caroline Cooley,Nissan,Altima,2019,20231,0.052301444,1058.11
23-06-2022,Miss Angela Evans,Kathy Shelton,Ford,F-150,2015,22516,0.074530461,1678.13
28-06-2022,Thomas Bass,Douglas Roach,Toyota,Corolla,2021,48317,0.1375444822429454,6645.74
30-05-2022,Debra Wright,Kristin Hall,Toyota,Corolla,2011,27734,0.1431401791910283,3969.85
15-09-2022,Nicholas Francis,Kevin Williams,Toyota,Corolla,2010,32473,0.062606618,2033.02
17-08-2022,Christina Jones,Shaun Brown,Ford,F-150,2013,25708,0.1059062558212728,2722.64
07-07-2022,Frederick Hudson,Mariah Lee,Chevrolet,Silverado,2016,39844,0.066639078,2655.17
03-05-2022,Craig Booth,Jason Davis,Toyota,Corolla,2020,34365,0.076107368,2615.43
26-09-2022,Mr. Shawn Scott MD,Mrs. Michele Edwards,Ford,F-150,2010,41626,0.1186916377411435,4940.66
02-09-2022,Michael Wright,Michael Moore,Nissan,Altima,2012,37275,0.063283803,2358.9
18-12-2022,Lauren Miller,William Wilkerson,Nissan,Altima,2018,15427,0.080783407,1246.25
28-05-2022,Nicholas Lyons,Sara King,Chevrolet,Silverado,2018,22897,0.078824478,1804.84
27-03-2023,Kimberly Allen,George Sanchez,Nissan,Altima,2021,33210,0.081960773,2721.92
24-12-2022,Miss Carla Jones,Nicole Vargas,Ford,F-150,2015,38133,0.099197702,3782.71
12-09-2022,Keith Bell,Kevin Nguyen,Ford,F-150,2014,49261,0.1052388845175443,5184.17
05-09-2022,Ashley Spencer,Christina Roberts,Nissan,Altima,2016,13572,0.069062806,937.32
22-01-2023,Edward Christian,Tammy Cain,Honda,Civic,2019,20795,0.1210367942136693,2516.96
28-09-2022,Gordon Rhodes,Jessica Washington,Toyota,Corolla,2018,32490,0.070217941,2281.38
19-02-2023,Stefanie Jones,Jesse Snow,Ford,F-150,2016,16150,0.1080567524974637,1745.12
22-10-2022,Cynthia Brown,Antonio Estrada,Chevrolet,Silverado,2011,27218,0.0535903633606964,1458.62
06-08-2022,Jessica Jackson,Jonathan Chaney,Ford,F-150,2021,28765,0.064203076,1846.8
04-02-2023,Oscar Atkins,Johnathan Ramos,Ford,F-150,2020,48884,0.063095077,3084.34
24-01-2023,Duane Garcia,Andrew Hudson,Toyota,Corolla,2020,42405,0.097317108,4126.73
25-04-2023,Howard Morris,Jeremy Spence,Chevrolet,Silverado,2017,39713,0.075985648,3017.62
12-05-2022,Michelle White,Jesse Wilson,Nissan,Altima,2016,29570,0.1466141848221486,4335.38
04-02-2023,James Higgins,Casey Stone,Chevrolet,Silverado,2011,39825,0.097734318,3892.27
08-08-2022,Tina Zamora,Anna Diaz,Chevrolet,Silverado,2016,27785,0.1399694035022674,3889.05
30-10-2022,Carol Harmon,Chad Brown,Chevrolet,Silverado,2022,39291,0.08776658,3448.44
05-12-2022,Anna Ryan,William Lynn,Honda,Civic,2020,45878,0.1176789534373745,5398.88
17-06-2022,James Hall,Benjamin Robertson,Ford,F-150,2015,26838,0.058580988,1572.2
29-09-2022,Daniel English,Brandon Turner,Nissan,Altima,2011,46924,0.1110666875942786,5211.69
21-03-2023,Tracey Williams,Michael Whitaker,Toyota,Corolla,2020,47651,0.054327131,2588.74
22-09-2022,Joseph Delacruz,Cynthia Jones,Toyota,Corolla,2013,14458,0.1153099182034188,1667.15
27-12-2022,John Miles,Kyle Stanley,Toyota,Corolla,2017,30993,0.1478620092351775,4582.69
19-09-2022,Christina Berry,Dennis Camacho,Ford,F-150,2014,15844,0.066035232,1046.26
17-07-2022,Joseph Reed,Jordan Bell,Chevrolet,Silverado,2014,36828,0.131398555162648,4839.15
06-08-2022,Kari Salas,Stephanie Carter,Nissan,Altima,2022,30713,0.1132254160671434,3477.49
09-09-2022,Steve Thompson,Christopher Perry,Ford,F-150,2015,44518,0.130531496520938,5811.0
26-03-2023,Donald Willis,Tracy Vaughn,Toyota,Corolla,2011,43592,0.099287469,4328.14
18-01-2023,Gregory Chapman,Stephanie Jones,Nissan,Altima,2010,19474,0.1146959535224634,2233.59
02-07-2022,William Palmer,Karen Roth,Ford,F-150,2013,41322,0.063977921,2643.7
16-11-2022,Jacob Williams,Aaron Medina,Honda,Civic,2014,23582,0.1470957680180211,3468.81
06-01-2023,Austin Garcia,Mckenzie Zavala,Chevrolet,Silverado,2020,22648,0.063995444,1449.37
11-05-2022,Karen Smith,Katherine Henderson,Nissan,Altima,2010,37699,0.1066383559349626,4020.16
03-02-2023,Michael Pitts,Julie Jones,Nissan,Altima,2014,33157,0.1333313831958741,4420.87
30-05-2022,Stacie Johnson,Erin King,Toyota,Corolla,2021,28204,0.1050189445543555,2961.95
18-06-2022,Erika Simpson,Loretta Diaz,Nissan,Altima,2022,42530,0.082907657,3526.06
19-07-2022,Bonnie Moore,Dustin Lopez,Ford,F-150,2021,23810,0.1170159642987495,2786.15
01-07-2022,Brent Todd,Curtis Leonard,Honda,Civic,2016,42672,0.1231378868791384,5254.54
05-01-2023,Julian Jimenez,Natalie Larson,Honda,Civic,2021,18067,0.1339747299063988,2420.52
08-06-2022,Joshua Hess,Matthew Guzman,Toyota,Corolla,2013,29710,0.086331454,2564.91
23-09-2022,Robert Smith,Grant Lane,Nissan,Altima,2013,30154,0.091494419,2758.92
13-11-2022,Christopher Carter,Jessica Wilson,Toyota,Corolla,2013,34377,0.078920147,2713.04
19-06-2022,Suzanne Rocha,Raymond Hinton,Nissan,Altima,2018,13827,0.062681812,866.7
02-12-2022,Jessica Castaneda,Rebecca Rasmussen,Honda,Civic,2018,21151,0.071833004,1519.34
26-05-2022,Jessica Conrad,Angela Santos,Chevrolet,Silverado,2012,12403,0.083677882,1037.86
19-04-2023,Teresa Nelson,Jessica Collins MD,Toyota,Corolla,2020,39479,0.1033623878505627,4080.64
11-01-2023,Scott Wilson,Shane Wilson,Toyota,Corolla,2020,42351,0.059670817,2527.12
17-09-2022,Chad Robinson,Zachary Reese,Chevrolet,Silverado,2011,13112,0.092264679,1209.77
07-08-2022,Tim Herrera,Natalie Robertson,Toyota,Corolla,2017,11248,0.1475754357021638,1659.93
30-12-2022,Crystal Small,Steven Liu,Nissan,Altima,2016,35191,0.096900235,3410.02
02-08-2022,Robert Adams,Samuel Wolfe,Nissan,Altima,2018,43594,0.057084698,2488.55
26-02-2023,Kimberly Jackson,Christopher Mason,Nissan,Altima,2015,36964,0.1473950458639193,5448.31
12-11-2022,Arthur Smith,Matthew Larson,Nissan,Altima,2018,41141,0.1313147167865002,5402.42
19-04-2023,Kyle Chandler,Kelly Miller,Honda,Civic,2015,16875,0.1349279856800767,2276.91
20-06-2022,Andrea Morris,Tiffany Stewart,Honda,Civic,2016,34503,0.1092296952924378,3768.75
04-08-2022,Gloria Mann,Chris Baker,Honda,Civic,2013,49225,0.1171801095316628,5768.19
19-04-2023,Cindy Conner,Sandra Hart,Honda,Civic,2015,43635,0.1448071139764629,6318.66
25-08-2022,Mary Ward,Cory Green,Ford,F-150,2015,15892,0.1064850278021292,1692.26
28-08-2022,Andrew Washington,Thomas White,Chevrolet,Silverado,2022,37655,0.078801112,2967.26
21-05-2022,Ashley Bender,Anthony Lopez,Toyota,Corolla,2021,26159,0.1463652300320166,3828.77
24-10-2022,Selena Smith,April Allen,Chevrolet,Silverado,2020,27854,0.1072929298240376,2988.54
12-12-2022,Russell Atkinson,Kathleen Smith,Honda,Civic,2017,31367,0.072717467,2280.93
09-11-2022,Carol King,Joshua Edwards,Chevrolet,Silverado,2012,45611,0.077783199,3547.77
29-03-2023,Christopher Mendoza,Rose Johnson,Ford,F-150,2017,47493,0.0516748590146122,2454.19
13-05-2022,David Oconnor,Jean Ramirez,Ford,F-150,2013,38728,0.1112802726874181,4309.66
10-12-2022,Alejandro Johnson,Brandon Walker,Toyota,Corolla,2018,20474,0.1048182933145085,2146.05
25-01-2023,Kevin Johnson,Robert Henry DDS,Toyota,Corolla,2017,27532,0.1203231620778763,3312.74
01-09-2022,Amanda Branch,Paul Pham,Nissan,Altima,2022,48674,0.101480118925287,4939.44
06-03-2023,Jacob Maldonado,Hannah Freeman,Ford,F-150,2021,24435,0.091475176,2235.2
12-05-2022,Tanner Horne,David Camacho,Chevrolet,Silverado,2014,12312,0.144252967383519,1776.04
08-02-2023,April Brown,Dennis Cardenas,Toyota,Corolla,2021,29298,0.076405583,2238.53
28-01-2023,Elizabeth Swanson,Sherry Elliott,Ford,F-150,2014,49461,0.1223893958322678,6053.5
30-12-2022,Deborah Baker MD,Sarah Evans,Nissan,Altima,2011,24893,0.1329478406997046,3309.47
05-03-2023,Collin Turner,Stephanie Mendez,Nissan,Altima,2015,15463,0.1386728336796423,2144.3
10-06-2022,Michelle Johnson,Joseph Davis,Ford,F-150,2022,43427,0.1012892565044132,4398.69
20-05-2022,Rebecca Mcguire,Antonio Atkins IV,Chevrolet,Silverado,2019,32745,0.1376101783523864,4506.05
30-12-2022,David Kelly,Douglas Frank,Honda,Civic,2016,44326,0.082696251,3665.59
11-02-2023,Mrs. Shannon Frazier DVM,Travis Barnes,Nissan,Altima,2010,35908,0.064526477,2317.02
10-08-2022,Brandi Anderson,Ethan Marquez,Chevrolet,Silverado,2020,25433,0.1340570449566971,3409.47
24-10-2022,Michael Ferguson,Sarah Cochran,Chevrolet,Silverado,2018,26811,0.1401351593082568,3757.16
28-04-2023,Susan Wagner,Andrea Shepherd,Honda,Civic,2020,15607,0.1067682855628798,1666.33
07-03-2023,Timothy Mccormick,Renee Herrera,Honda,Civic,2013,20064,0.090177565,1809.32
01-08-2022,Drew Lambert,Sylvia Williams,Toyota,Corolla,2019,48779,0.052899612,2580.39
01-05-2022,Lee Wilson,Pamela Lynn,Nissan,Altima,2022,43674,0.099337365,4338.46
24-01-2023,Matthew Carlson,John Santiago,Nissan,Altima,2013,22172,0.072195476,1600.72
28-07-2022,Vanessa Perry,Charles Bailey,Honda,Civic,2017,13133,0.1476070233286728,1938.52
19-07-2022,Victor Griffin,Jacqueline Boyd,Toyota,Corolla,2010,17406,0.1085851367902385,1890.03
08-12-2022,Dale Williams,Shannon Russell,Chevrolet,Silverado,2011,42233,0.063087692,2664.38
14-01-2023,Paul Hall,Jeffrey Thompson,Toyota,Corolla,2020,12813,0.077213188,989.33
14-12-2022,Daniel Farley,Paul Jackson,Ford,F-150,2019,44048,0.1235132315287283,5440.51
10-12-2022,Bruce Martinez,Karen Yang,Toyota,Corolla,2021,47114,0.064291339,3029.02
09-06-2022,Candace Galloway,Dillon Solis,Nissan,Altima,2020,48709,0.089118493,4340.87
26-03-2023,Angela Russell,Alexandra Knapp,Ford,F-150,2017,38549,0.078654286,3032.04
